count,kind,%,example_graph_id,signature,signature_id
2,soll,13.33%,catalog-9992000000026,"NT:MaLo=1,MeLo=1,TR=1,NeLo=1|ET:MEMA=1,METR=1,MENE=1,MEME=0|CC:1|DEG:1,1,3",8239ada13d
2,soll,13.33%,catalog-9992000000159,"NT:MaLo=3,MeLo=2,TR=4,NeLo=1|ET:MEMA=3,METR=4,MENE=1,MEME=0|CC:2|DEG:1,1,5",5004182594
1,soll,6.67%,catalog-9992000000018,"NT:MaLo=1,MeLo=0,TR=1,NeLo=1|ET:MEMA=0,METR=0,MENE=0,MEME=0|CC:3|DEG:0,0,0",81e8cbfe21
1,soll,6.67%,catalog-9992000000034,"NT:MaLo=2,MeLo=1,TR=2,NeLo=1|ET:MEMA=2,METR=2,MENE=1,MEME=0|CC:1|DEG:1,1,5",02a54f62f5
1,soll,6.67%,catalog-9992000000042,"NT:MaLo=2,MeLo=1,TR=3,NeLo=1|ET:MEMA=2,METR=3,MENE=1,MEME=0|CC:1|DEG:1,1,6",66705fce9a
1,soll,6.67%,catalog-9992000000068,"NT:MaLo=2,MeLo=2,TR=2,NeLo=1|ET:MEMA=2,METR=2,MENE=1,MEME=0|CC:2|DEG:1,1,3",964f57642f
1,soll,6.67%,catalog-9992000000076,"NT:MaLo=3,MeLo=2,TR=4,NeLo=1|ET:MEMA=3,METR=4,MENE=1,MEME=0|CC:2|DEG:1,1,6",c165773f7b
1,soll,6.67%,catalog-9992000000084,"NT:MaLo=4,MeLo=3,TR=4,NeLo=1|ET:MEMA=1,METR=1,MENE=1,MEME=0|CC:9|DEG:0,0,3",7e0219bbd1
1,soll,6.67%,catalog-9992000000117,"NT:MaLo=2,MeLo=2,TR=4,NeLo=1|ET:MEMA=0,METR=0,MENE=0,MEME=0|CC:9|DEG:0,0,0",b4c55be275
1,soll,6.67%,catalog-9992000000125,"NT:MaLo=3,MeLo=3,TR=4,NeLo=1|ET:MEMA=4,METR=4,MENE=0,MEME=0|CC:3|DEG:0,1,4",9c71c92a55
1,soll,6.67%,catalog-9992000000133,"NT:MaLo=3,MeLo=2,TR=3,NeLo=1|ET:MEMA=3,METR=3,MENE=1,MEME=0|CC:2|DEG:1,1,4",2a4628d258
1,soll,6.67%,catalog-9992000000167,"NT:MaLo=4,MeLo=3,TR=5,NeLo=1|ET:MEMA=2,METR=2,MENE=1,MEME=0|CC:8|DEG:0,1,4",83bdb66257
1,soll,6.67%,catalog-9992000000183,"NT:MaLo=4,MeLo=3,TR=4,NeLo=1|ET:MEMA=4,METR=4,MENE=1,MEME=0|CC:3|DEG:1,1,4",115b288ed9
