Messlokation;Spannungsebene;Lieferanschrift_Straße__vollständig__;Lieferanschrift_Hausnummer_incl__Zusatz;Lieferanschrift_Ortsteil;Lieferanschrift_PLZ;Lieferanschrift_Ort;Hinweise Geräteplatz;Kundenselbstablesung;Ablesekarte GP_ID
DE0004448068900000000000090765307;41;;;;;;;;
DE0004448124700000000000090761242;41;;;;;;;;
DE0004448182700000000000090313428;41;;;;;;;;
DE0004448192500000000000090270864;41;;;;;;;;
DE0004448192500000000000090315741;41;;;;;;;;
DE0010688552110000000000002507629;41;;;;;;;;
DE0072488033500000000000091226157;41;;;;;;;;
DE0072488093900000000000080247234;41;;;;;;;;
DE0072488137700000000000091227135;41;;;;;;;;
DE0072488173900000000000030109436;41;;;;;;;;
DE0072488080700000000000060100938;41;;;;;;;;
DE0072488080700000000000091219155;41;;;;;;;;
DE0072488099700000000000070057161;41;;;;;;;;
DE0072488099700000000000091241960;41;;;;;;;;
DE0072488099700000000000091500957;41;;;;;;;;
DE0072488099700000000000091500958;41;;;;;;;;
DE0072488124100000000000070041830;41;;;;;;;;
DE0072488124100000000000091231843;41;;;;;;;;
DE0072488182500000000000091231478;41;;;;;;;;
DE0072488182500000000000091232461;41;;;;;;;;
DE0072488182700000000000070101302;41;;;;;;;;
DE0072488182700000000000091531291;41;;;;;;;;
DE0072488192700000000000070042860;41;;;;;;;;
DE0072488192700000000000070042871;41;;;;;;;;
DE0072488536800000000000030090721;41;;;;;;;;
DE0072488536800000000000091540491;41;;;;;;;;
DE0004448063600000000000090008963;41;;;;;;;;
DE0004448063600000000000090016652;41;;;;;;;;
DE0004448063600000000000090016654;41;;;;;;;;
DE0004448063600000000000090016655;41;;;;;;;;
DE0004448063600000000000090099911;41;;;;;;;;
DE0004448079700000000000090211817;41;;;;;;;;
DE0004448079700000000000090914462;41;;;;;;;;
DE0004448079800000000000090211286;41;;;;;;;;
DE0004448079800000000000090907926;41;;;;;;;;
DE0004448079900000000000090153118;41;;;;;;;;
DE0004448099500000000000090115319;41;;;;;;;;
DE0004448099500000000000091190954;41;;;;;;;;
DE0004448099900000000000090795335;41;;;;;;;;
DE0004448124300000000000090881040;41;;;;;;;;
DE0004448124500000000000090821204;41;;;;;;;;
DE0004448124500000000000090921610;41;;;;;;;;
DE0004448124900000000000090789863;41;;;;;;;;
DE0004448124900000000000090795408;41;;;;;;;;
DE0004448124900000000000090795409;41;;;;;;;;
DE0004448147600000000000070013246;41;;;;;;;;
DE0004448147600000000000090630558;41;;;;;;;;
DE0004448167100000000000090290205;41;;;;;;;;
DE0004448167300000000000090273772;41;;;;;;;;
DE0004448173900000000000090442730;41;;;;;;;;
DE0004448173900000000000090467201;41;;;;;;;;
DE0004448173900000000000090500415;41;;;;;;;;
DE0004448182700000000000090292865;41;;;;;;;;
DE0004448182700000000000090292962;41;;;;;;;;
DE0004448182700000000000090919744;41;;;;;;;;
DE0004448536800000000000090840313;41;;;;;;;;
DE0004448536800000000000091195234;41;;;;;;;;
DE0072488093500000000000030060926;41;;;;;;;;
DE0072488093500000000000091510872;41;;;;;;;;
DE0072488099700000000000030098911;41;;;;;;;;
DE0072488099700000000000080248687;41;;;;;;;;
DE0072488182700000000000070102859;41;;;;;;;;
DE0072488182700000000000070102860;41;;;;;;;;
DE0072488192900000000000091549998;41;;;;;;;;
DE007423855210000200034001A00S002;41;;;;;;;;
DE007423855210000200034001A00S003;41;;;;;;;;
